grantee,grantee_url,amount,fiscal_year,grant_type,grant_description
United for a Fair Economy,https://www.baumanfoundation.org/grantee/177,"$20,000",2012-13,General Support,
University of Maryland (School of Nursing),https://www.baumanfoundation.org/grantee/33,"$50,000",2010-11,General Support,
University of Minnesota Foundation,https://www.baumanfoundation.org/grantee/179,"$10,000",2013-14,Project Grant,Masters of Advocacy and Political Leadership
USAction,https://www.baumanfoundation.org/grantee/124,"$25,000",2013-14,General Support,
USAction Education Fund,https://www.baumanfoundation.org/grantee/23,"$10,000",2014-15,Project Grant,"Campaign Summit, Volunteer Recruitment & Retention"
USAction Education Fund,https://www.baumanfoundation.org/grantee/23,"$20,000",2012-13,General Support,
USAction Education Fund,https://www.baumanfoundation.org/grantee/23,"$85,000",2010-11,General Support,
USAction Education Fund,https://www.baumanfoundation.org/grantee/23,"$150,000",2009-10,General Support,
USAction Education Fund,https://www.baumanfoundation.org/grantee/23,"$200,000",2008-09,General Support,
Virginia Civic Engagement Tale,https://www.baumanfoundation.org/grantee/239,"$25,000",2016-17,General Support,
Virginia Organizing,https://www.baumanfoundation.org/grantee/95,"$10,000",2014-15,Project Grant,Improve Accuracy of Voter Data
Virginia Organizing,https://www.baumanfoundation.org/grantee/95,"$1,500",2012-13,Project Grant,Health & Environmental Funders Network
Virginia Organizing,https://www.baumanfoundation.org/grantee/95,"$10,000",2012-13,Project Grant,Environmental Health Sciences
Virginia Organizing,https://www.baumanfoundation.org/grantee/95,"$50,000",2012-13,Project Grant,Alliance of Nurses for Healthy Environment
Virginia Organizing,https://www.baumanfoundation.org/grantee/95,"$10,000",2012-13,Project Grant,Environmental Health Sciences
Virginia Organizing,https://www.baumanfoundation.org/grantee/95,"$10,000",2011-12,Project Grant,Health and Environmental Funders Network
Voces de la Frontera,https://www.baumanfoundation.org/grantee/121,"$2,500",2011-12,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$150,000",2017-18,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$200,000",2015-16,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$200,000",2014-15,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$200,000",2013-14,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$225,000",2012-13,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$225,000",2011-12,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$250,000",2010-11,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$150,000",2009-10,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$100,000",2009-10,General Support,
Voter Participation Center,https://www.baumanfoundation.org/grantee/24,"$350,000",2008-09,General Support,
Voting for America,https://www.baumanfoundation.org/grantee/122,"$25,000",2011-12,General Support,
Washington Progress Fund,https://www.baumanfoundation.org/grantee/196,"$10,000",2014-15,Project Grant,Voter Contact & Civic Engagement
We Are America Alliance,https://www.baumanfoundation.org/grantee/75,"$20,000",2008-09,General Support,
Wellstone Action Fund,https://www.baumanfoundation.org/grantee/76,"$40,000",2015-16,Project Grant,Developing the Next Generation of Data and Digital Practitioners Project
Wellstone Action Fund,https://www.baumanfoundation.org/grantee/76,"$10,000",2011-12,General Support,
Wellstone Action Fund,https://www.baumanfoundation.org/grantee/76,"$50,000",2008-09,General Support,
Western Organization of Resource Councils,https://www.baumanfoundation.org/grantee/103,"$25,000",2013-14,Project Grant,Regional Project
Wisconsin Voices,https://www.baumanfoundation.org/grantee/211,"$10,000",2014-15,Project Grant,Pledge to Take Action Program
Working America Education Fund,https://www.baumanfoundation.org/grantee/25,"$225,000",2014-15,General Support,
Working America Education Fund,https://www.baumanfoundation.org/grantee/25,"$250,000",2013-14,General Support,
Working America Education Fund,https://www.baumanfoundation.org/grantee/25,"$225,000",2012-13,General Support,
Working America Education Fund,https://www.baumanfoundation.org/grantee/25,"$200,000",2011-12,General Support,
Working America Education Fund,https://www.baumanfoundation.org/grantee/25,"$150,000",2010-11,General Support,
Working America Education Fund,https://www.baumanfoundation.org/grantee/25,"$150,000",2009-10,General Support,
Working America Education Fund,https://www.baumanfoundation.org/grantee/25,"$250,000",2009-10,Project Grant,Working America Education Fund
Working America Education Fund,https://www.baumanfoundation.org/grantee/25,"$600,000",2008-09,General Support,
